n,date,domain,lang,reg,title,url,article_kind,primary_voice,vg,voice_name,voice_affiliation,projected_bloc_seats,stance,claim_strength,no61_kind,stated_probability,p61,side,key_quote,key_quote_en,summary,quote_verified,text_source,snapshot
228,2022-10-06,7kanal.co.il,ru,ru,"60 мест у правого блока. 31% считает, что будет правительство",https://7kanal.co.il/News/News.aspx/244048,poll,poll,polls,Israel Hayom,Israel Hayom,60,-0.2,0.7,deadlock,0.31,0.4,no61,"Опрос, проведенный ""Исраэль Хайом"" показывает, что если бы выборы состоялись сегодня, то блок Нетаньяху и блок Лапида были бы в абсолютном равенстве 60-60... Большинство респондентов, сказали, что по итогам выборов политический кризис не будет преодолён, правительство не удастся сформировать и придется назначать новые выборы. Так считают 42%. Лишь 31% считают, что по итогам этих выборов будет сформировано правительство.","A poll conducted by Israel Hayom shows that if elections were held today, Netanyahu's bloc and Lapid's bloc would be in absolute equality 60-60... Most respondents said that after the elections the political crisis will not be overcome, a government will not be formed and new elections will have to be called. 42% think so. Only 31% believe that a government will be formed as a result of these elections.","Israel Hayom poll projects Netanyahu's bloc at 60 seats (tied with opposition), but among committed voters it reaches 64; however, 42% of the public expects deadlock and new elections, while only 31% believe a government will form.",True,live,
229,2022-10-06,inn.co.il,he,he,"סקר: 60 לגוש הימין, רק 31% מעריכים שתוקם ממשלה",https://inn.co.il/news/579302,poll,poll,polls,Maagar Mohot,Israel Hayom & Maagar Mohot,60,-0.4,0.75,deadlock,0.31,0.3,no61,רק 31% מאמינים שבתום מערכת בחירות זו תוקם ממשלה ואילו 27% פשוט לא יודעים כיצד הבחירות הללו יסתיימו.,"Only 31% believe that after this election a government will be formed, while 27% simply don't know how these elections will end.","A Maagar Mohot poll shows Netanyahu's bloc at 60 seats (tied with Lapid's bloc), but only 31% of the public believe a government will form; among certain voters the bloc rises to 64, yet 42% expect another election.",True,live,
230,2022-10-06,7kanal.co.il,ru,ru,Блок Нетаньяху проиграет без участия Шакед в выборах,https://7kanal.co.il/News/News.aspx/244065,poll,poll,polls,Mako and Knesset Channel,"Mako, Knesset Channel",60,-0.4,0.85,deadlock,,0.3,no61,В общей сложности праворелигиозный блок во главе с «Ликудом» и Биньямином Нетаньяху получит 60 мест в Кнессете... если «Бейт ха-Иегуди» выйдет из гонки... блок под руководством «Ликуда» получит всего 59 мест,"In total, the right-religious bloc led by Likud and Benjamin Netanyahu will receive 60 seats in the Knesset... if Beit HaYehudi withdraws from the race... the bloc under Likud's leadership will receive only 59 seats","A Mako and Knesset Channel poll projects Netanyahu's bloc at 60 seats (one short of 61), and warns that if Beit HaYehudi exits the race, the bloc would fall to 59 seats, resulting in deadlock.",True,live,
231,2022-10-06,mignews.com,ru,ru,"Нетаниягу: у религиозных сионистов есть дом в ""Ликуд"" | Выборы в Израиле | MIGnews  - MigNews – новости Израиля и мира на русском языке",https://mignews.com/news/election2019/netaniyagu-u-religioznyh-sionistov-est-dom-v-likud.html,news,politician_bloc,bloc,Benjamin Netanyahu,Likud,,0,0.3,n/a,,0.5,uncertain,"У религиозных сионистов сегодня есть дом в ""Ликуд"". ""Ликуд"" — их дом.",Religious Zionists today have a home in Likud. Likud is their home.,"Netanyahu claims Religious Zionism has found a home in Likud; recent polls suggest the Religious Zionism alliance may become Israel's third-largest party after November elections, but no explicit seat projection for the bloc is given.",True,live,
232,2022-10-06,inn.co.il,he,he,"סקר: 62 מנדטים לגוש הימין, המחנה הממלכתי נחלש",https://inn.co.il/news/579404,poll,poll,polls,Direct Polls,Channel 14,62,0.5,0.85,n/a,,0.75,bloc61,סקר שערך מכון 'דיירקט פולס' עבור ערוץ 14 מעלה כי לו היו הבחירות נערכות כיום היה גוש הימין משיג 62 מנדטים.,"A poll conducted by the Direct Polls institute for Channel 14 shows that if elections were held today, the right-wing bloc would achieve 62 seats.","Direct Polls reports the right-wing bloc would win 62 seats if elections were held today (October 6, 2022), exceeding the 61-seat threshold needed for a Netanyahu government.",True,live,
233,2022-10-08,algemeiner.com,en,il_en,Lapid courts Arab voters with 'anyone but Netanyahu' message | Jewish & Israel News Algemeiner.com,https://algemeiner.com/2022/10/08/lapid-courts-arab-voters-with-anyone-but-netanyahu-message,news,politician_anti,anti,Yair Lapid,Yesh Atid,,-0.5,0.4,opposition_forms_govt,,0.25,no61,"Should you abstain, the message goes, Netanyahu will form a government with such anti-Arab extremists as Itamar Ben-Gvir.","Should you abstain, the message goes, Netanyahu will form a government with such anti-Arab extremists as Itamar Ben-Gvir.","Lapid's campaign warns Arab voters that abstention risks Netanyahu forming a government with anti-Arab extremists, implying the opposition bloc needs Arab voter turnout to prevent a Netanyahu majority.",True,live,
234,2022-10-10,jewishjournal.com,en,il_en,Cutting Through the Noise of Israel's Election,https://jewishjournal.com/commentary/opinion/352136/cutting-through-the-noise-of-israels-election,opinion,author,media,Samuel Hyde,The Institute for Monitoring Peace and Cultural Tolerance,,-0.5,0.65,deadlock,,0.25,no61,"As things stand, it is likely that neither bloc will manage to win the 61 Knesset seats needed to form a viable government. One possibility being noticed is a rotation government comprising of Likud headed by Netanyahu, the National Unity party formed by Benny Gantz and Gideon Sa'ar, and the ultra-Orthodox parties.","As things stand, it is likely that neither bloc will manage to win the 61 Knesset seats needed to form a viable government. One possibility being noticed is a rotation government comprising of Likud headed by Netanyahu, the National Unity party formed by Benny Gantz and Gideon Sa'ar, and the ultra-Orthodox parties.","Samuel Hyde argues that neither the Netanyahu bloc nor the change bloc will likely reach 61 seats, predicting instead a deadlock resolved by a rotation government between Netanyahu, Gantz, and the ultra-Orthodox parties.",True,live,
235,2022-10-11,srugim.co.il,he,he,סקר: הליכוד בשפל של מנדטים; השמאל עם 61,https://srugim.co.il/719135-%D7%A1%D7%A7%D7%A8-%D7%94%D7%9C%D7%99%D7%9B%D7%95%D7%93-%D7%91%D7%A9%D7%A4%D7%9C-%D7%A9%D7%9C-%D7%9E%D7%A0%D7%93%D7%98%D7%99%D7%9D-%D7%94%D7%A9%D7%9E%D7%90%D7%9C-%D7%A2%D7%9D-61,poll,poll,polls,Midgam (מדגם),Channel 12 News (חדשות 12),59,-0.6,0.95,opposition_forms_govt,,0.2,no61,"סקר מנדטים חדש של חדשות 12 שנערך על ידי מכון 'מדגם'... גוש הימין עומד על 59 מנדטים בלבד, בעוד גוש השמאל מצליח להגיע ל-61.","A new seat poll by Channel 12 conducted by the Midgam institute... the right-wing bloc stands at only 59 seats, while the left-wing bloc manages to reach 61.","A Midgam poll for Channel 12 projects Netanyahu's right-wing bloc at 59 seats versus an opposition bloc of 61, suggesting the bloc will fall short of a majority.",True,live,
236,2022-10-11,israelnationalnews.com,en,il_en,"Poll: Smotrich, Ben-Gvir strengthen at Netanyahu's expense",https://israelnationalnews.com/news/361045,poll,poll,polls,Midgam Institute; Dodi Hasid / Kan News,Midgam Institute; Kan News,60,-0.4,0.85,deadlock,,0.3,no61,"According to this poll, whether Ayelet Shaked runs in the elections or not, there is no significant change in the election results and the right-wing bloc still has 59 mandates. Another poll, conducted by pollster Dodi Hasid for Kan News, suggests that if the elections had been held today, the right-wing bloc would have won 60 mandates.","According to this poll, whether Ayelet Shaked runs in the elections or not, there is no significant change in the election results and the right-wing bloc still has 59 mandates. Another poll, conducted by pollster Dodi Hasid for Kan News, suggests that if the elections had been held today, the right-wing bloc would have won 60 mandates.",Two polls (Midgam: 59 seats; Dodi Hasid/Kan: 60 seats) show Netanyahu's right-wing bloc falling short of the 61-seat majority needed to form a government.,True,live,
237,2022-10-11,inn.co.il,he,he,סקר: סמוטריץ' ובן גביר מתחזקים על חשבון נתניהו,https://inn.co.il/news/579702,poll,poll,polls,Mdgam (Maagar Mohot) and Dudi Hasid,Mdgam for Channel 12; Dudi Hasid for Kan News,60,-0.2,0.85,deadlock,,0.4,no61,"על פי נתונים אלה בין אם איילת שקד מתמודדת בבחירות ובין אם לא, אין שינוי משמעותי בתמונת הגושים וגוש הימין נותר עם 59 מנדטים. סקר נוסף... מעלה כי לו היו הבחירות נערכות כיום היה גוש הימין זוכה ב-60 מנדטים.","According to these data, whether or not Ayelet Shaked runs in the elections, there is no significant change in the bloc picture and the right-wing bloc remains with 59 seats. Another poll... shows that if elections were held today, the right-wing bloc would win 60 seats.",Two polls (Mdgam: 59 seats; Dudi Hasid: 60 seats) show Netanyahu's right-wing bloc falling short of the 61-seat majority needed to form a government.,True,live,
238,2022-10-11,israelnationalnews.com,en,il_en,Aryeh Deri: 'Woe is to us if we don't win these elections',https://israelnationalnews.com/news/361023,interview,politician_bloc,bloc,Aryeh Deri,Shas,,0.7,0.85,n/a,,0.85,bloc61,"Woe is to us if we don't win these elections. If that G-d forbid happens, we are to blame, it shows that we didn't do enough. We have to win, we can not lose the elections.","Woe is to us if we don't win these elections. If that G-d forbid happens, we are to blame, it shows that we didn't do enough. We have to win, we can not lose the elections.","Shas chairman Aryeh Deri expresses strong conviction that the right-wing bloc will win the 61 seats needed to form a government, framing it as essential and achievable from their strong starting position.",True,live,
239,2022-10-13,bhol.co.il,he,he,שבועיים וחצי לבחירות: פער של שלושה מנדטים בין שני סקרים,https://bhol.co.il/news/1449966,news,poll,polls,Channel 13 / Prof. Kamil Fuchs; Direct Polls / Shlomo Filber,Channel 13; Channel 14,,0.0,0.85,unclear,,0.5,uncertain,"סקר מנדטים חדש של 'חדשות 13' ופרופ' קמיל פוקס מציג אי הכרעה בבחירות, כאשר גוש הימין-חרדים מגיע ל-59 מושבים... סקר נוסף שערך מכון 'דיירקט פולס'... העמיד את גוש הימין-חרדים בראשות בנימין נתניהו על 62 מושבים","A new poll by Channel 13 and Prof. Kamil Fuchs shows no decision in the elections, with the right-haredi bloc reaching 59 seats... Another poll by Direct Polls placed Netanyahu's right-haredi bloc at 62 seats in the next Knesset.","Two conflicting polls released on October 13, 2022 show Netanyahu's bloc at either 59 seats (deadlock) or 62 seats (majority), creating genuine uncertainty two and a half weeks before the election.",True,wayback,20221013181036
240,2022-10-14,kikar.co.il,he,he,"59, 60, 62: הסקרים השונים מתקשים לחזות את התוצאות",https://kikar.co.il/political-news/429011,poll,poll,polls,"Direct Polls, Channel 13 (Prof. Kamil Fuchs), Panels Politics","Direct Polls / Akshav, Channel 13 News, Maariv",,0,0.7,unclear,,0.5,uncertain,"3 שבועות לבחירות, הסקרים השונים שפורסמו אמש והבוקר מציגים, כל סקר בנפרד, תוצאות שונות לחלוטין. ניצחון לימין-חרדים, ניצחון לשמאל-ערבים או בכלל תיקו בין הגושים.","Three weeks before the election, the various polls published yesterday and this morning present, each poll separately, completely different results. A victory for the right-haredim, a victory for the left-Arabs, or a tie between the blocs.","Three major polls from October 14, 2022 show conflicting results: Direct Polls projects Netanyahu's bloc at 62 seats, Channel 13 projects the left-Arab bloc at 61 seats, and Panels Politics shows a tie (though notes Netanyahu could reach 62 if the Jewish Home crosses the threshold).",True,live,
241,2022-10-14,kikar.co.il,he,he,"עמית סגל: ""נתניהו, תיאורטי, עשוי להגיע ל-63 מנדטים""",https://kikar.co.il/political-news/429019,analysis,analyst,media,Amit Segal,Yedioth Ahronoth,,0.5,0.6,n/a,,0.75,bloc61,"נתניהו, באופן תיאורטי, עשוי להגיע ל-63 מנדטים גם אם המחנה שלו יזכה לפחות ממחצית הקולות","Netanyahu, theoretically, could reach 63 seats even if his camp wins less than half the votes","Analyst Amit Segal reports internal polls showing Netanyahu's advisors project 59–60.5 seats, but argues theoretically Netanyahu could reach 63 seats depending on strategic political events.",True,live,
242,2022-10-15,mako.co.il,he,he,N12 - ההסכם שמקרב את נתניהו לניצחון והסכנה הממשית לייצוג...,https://mako.co.il/news-columns/2022_q4/Article-b3095263665c381027.htm,analysis,author,media,Daphna Liel,mako.co.il / N12,61,0.35,0.65,n/a,,0.675,bloc61,"אם נתניהו לא יגיע ל-61 מנדטים, הוא עלול לגלות שהגוש שלו איבד סבלנות ובשל להמליץ על מועמד אחר","If Netanyahu does not reach 61 mandates, he may discover that his bloc has lost patience and will recommend another candidate","Analyst Daphna Liel reports Netanyahu's bloc is currently coordinated and approaching victory, but warns that if he fails to reach 61 seats, his own coalition partners may push to replace him with another Likud figure.",True,live,
243,2022-10-16,mondoweiss.net,en,il_en,Surging racist Ben Gvir is potential kingmaker in Israel — and 'NYT' hides him from readers – Mondoweiss,https://mondoweiss.net/2022/10/surging-racist-ben-gvir-is-potential-kingmaker-in-israel-and-nyt-hides-him-from-readers,opinion,author,media,Mondoweiss editorial,Mondoweiss,,0.5,0.6,n/a,,0.75,bloc61,"Ben Gvir's party, along with his ally Bezalel Smotrich, are kingmakers in Benjamin Netanyahu's effort to become prime minister again... Israeli political pundits are speculating feverishly what he will get from Netanyahu for what would be his indispensable support if Netanyahu forms the next government.","Ben Gvir's party, along with his ally Bezalel Smotrich, are kingmakers in Benjamin Netanyahu's effort to become prime minister again... Israeli political pundits are speculating feverishly what he will get from Netanyahu for what would be his indispensable support if Netanyahu forms the next government.","Mondoweiss argues that Ben Gvir and Smotrich are 'kingmakers' whose support is 'indispensable' for Netanyahu to form the next government, implying the bloc will likely reach 61 seats, though the article focuses on media coverage rather than explicit seat projections.",True,wayback,20221016165526
244,2022-10-16,mignews.com,ru,ru,Смотрич опасается: Нетаниягу может выбрать Ганца | Выборы в Израиле | MIGnews  - MigNews – новости Израиля и мира на русском языке,https://mignews.com/news/election2019/smotrich-opasaetsya-netaniyagu-mozhet-vybrat-ganca.html,news,politician_bloc,bloc,Bezalel Smotrich,Religious Zionism bloc,,0.4,0.6,n/a,,0.7,bloc61,"Если мы получим 15 или 16 мандатов, обязательно будет правое правительство, и ""Ликуд"" не пойдет с Ганцем.","If we get 15 or 16 mandates, there will definitely be a right-wing government, and Likud will not go with Gantz.","Smotrich (Religious Zionism) expresses confidence that if his bloc wins 15–16 seats, Netanyahu will form a right-wing government excluding Gantz, though he acknowledges post-election pressure could push Netanyahu toward the centre-left.",True,live,
245,2022-10-17,heritage.org,en,intl,Netanyahu Faces Hurdles to Building Governing Coalition After Narrow Israeli Election Win,https://heritage.org/middle-east/commentary/netanyahu-faces-hurdles-building-governing-coalition-after-narrow-israeli,analysis,author,media,James Phillips,Heritage Foundation / The Daily Signal,58,-0.5,0.7,deadlock,,0.25,no61,"The alliance of right-wing and religious parties that formed Netanyahu's previous government this time won 58 seats, three short of the majority needed to form a government in the 120-seat Knesset. It remains unclear whether he can break through the political stalemate that has prevented the formation of a coalition government after the past two elections.","The alliance of right-wing and religious parties that formed Netanyahu's previous government this time won 58 seats, three short of the majority needed to form a government in the 120-seat Knesset. It remains unclear whether he can break through the political stalemate that has prevented the formation of a coalition government after the past two elections.","Heritage Foundation analyst James Phillips reports Netanyahu's right-wing/religious bloc won 58 seats (3 short of 61) and states it remains unclear whether Netanyahu can overcome political stalemate to form a coalition, implying risk of deadlock or a fourth election.",True,wayback,20221017143823
246,2022-10-17,jpost.com,en,il_en,Countdown to elections: Here's what could still happen - analysis,https://jpost.com/israel-elections/article-719878,analysis,author,media,Jerusalem Post analysis team,Jerusalem Post,,0.55,0.7,n/a,,0.775,bloc61,"getting more out to vote will likely be enough for Likud leader and opposition head MK Benjamin Netanyahu and his allies to pass the 61-seat threshold and form a government... if either [Ra'am or Hadash-Ta'al] fails to pass, over 100,000 votes will likely be wasted and victory for Netanyahu is nearly certain.","getting more out to vote will likely be enough for Likud leader and opposition head MK Benjamin Netanyahu and his allies to pass the 61-seat threshold and form a government... if either [Ra'am or Hadash-Ta'al] fails to pass, over 100,000 votes will likely be wasted and victory for Netanyahu is nearly certain.","The Jerusalem Post analysis identifies voting turnout—particularly among development-town voters and Arab voters—as the decisive factor; higher turnout and Arab party threshold failures would likely secure Netanyahu's 61-seat majority, though security deterioration and the Lebanon deal could shift momentum.",True,live,
247,2022-10-18,alquds.co.uk,ar,ar,"في معركة الانتخابات: نتنياهو أمام ""فرصته الأخيرة"" ولبيد ""يختبئ"" وراء الصوت العربي.. وبن غفير يطمح لـ""الحزب الأكبر""",https://alquds.co.uk/%D9%81%D9%8A-%D9%85%D8%B9%D8%B1%D9%83%D8%A9-%D8%A7%D9%84%D8%A7%D9%86%D8%AA%D8%AE%D8%A7%D8%A8%D8%A7%D8%AA-%D9%86%D8%AA%D9%86%D9%8A%D8%A7%D9%87%D9%88-%D8%A3%D9%85%D8%A7%D9%85-%D9%81%D8%B1%D8%B5%D8%AA,analysis,author,media,Yuval Karni,Yedioth Ahronoth,,-0.3,0.6,deadlock,,0.35,no61,بالنسبة لنتنياهو، ستكون فرصته الأخيرة لتحقيق ما لم ينجح في تحقيقه في الحملات الانتخابية الأربعة السابقة: 61 مقعداً لكتلة نتنياهو... كما أنه يجد صعوبة في أن يحقق الـ 61 المنشودة حسب الاستطلاعات.,"For Netanyahu, this will be his last chance to achieve what he failed to achieve in the four previous election campaigns: 61 seats for Netanyahu's bloc. According to polls, he is finding it difficult to achieve the desired 61.","Author Yuval Karni analyzes the race as a head-to-head between Netanyahu and Lapid, noting Netanyahu faces difficulty reaching 61 seats according to polls, while Lapid's associates are confident he will form the next government if Netanyahu fails to reach 61.",True,live,
248,2022-10-18,walla.co.il,he,he,סקר מנדטים כאן 11 וחדשות 12 - וואלה! בחירות 2022,https://elections.walla.co.il/item/3535581,poll,poll,polls,Kan 11 and Mabat 12 (Channel 12 News),Israeli public broadcasters,60,-0.2,0.9,deadlock,,0.4,no61,סקרים שפורסמו הערב (שלישי) במהדורות החדשות של תאגיד השידור כאן 11 וחדשות 12 חוזים 59-60 לגוש המפלגות התומכות בראש האופוזיציה בנימין נתניהו.,Polls published this evening (Tuesday) in the news broadcasts of the Kan 11 and Channel 12 News predict 59-60 seats for the bloc of parties supporting opposition leader Benjamin Netanyahu.,"Two Israeli broadcaster polls from October 18, 2022 project Netanyahu's bloc at 59–60 seats: Kan 11 shows 60 seats (just below the 61-seat threshold), while Channel 12 News shows 59 seats, both indicating a tight race without a clear majority.",True,live,
249,2022-10-18,foreignpolicy.com,en,intl,arab citizens of israel hold the key to next months election,https://foreignpolicy.com/2022/10/18/arab-citizens-of-israel-hold-the-key-to-next-months-election,analysis,analyst,media,Muhammed Khalaily,Israel Democracy Institute,,-0.5,0.6,opposition_forms_govt,,0.25,no61,"If turnout can be driven up to 50 percent among Arab Israelis, that could block Netanyahu and Ben-Gvir, Khalaily estimates.","If turnout can be driven up to 50 percent among Arab Israelis, that could block Netanyahu and Ben-Gvir, Khalaily estimates.","Analyst Khalaily argues that if Arab Israeli turnout reaches 50%, it could block Netanyahu's bloc; low turnout (~40%) would enable Netanyahu and Ben-Gvir to form a government, though Golan notes the Israeli public has moved right.",True,live,
250,2022-10-18,jns.org,en,il_en,Danny Danon says the current coalition lacks the experience to run the government.,https://jns.org/danny-danon-says-the-current-coalition-lacks-the-experience-to-run-the-government,interview,politician_bloc,bloc,Danny Danon,Likud,,0.7,0.75,n/a,,0.85,bloc61,"Likud is polling at around 32 mandates ahead of the Nov. 1 election, with party chief and opposition leader Netanyahu's right-wing/religious bloc on the threshold of securing a 61-seat parliamentary majority... I think there will be a clear decision [in Nov.], and Likud will [garner] enough votes to put together a strong [coalition] and govern for years.","Likud is polling at around 32 mandates ahead of the Nov. 1 election, with party chief and opposition leader Netanyahu's right-wing/religious bloc on the threshold of securing a 61-seat parliamentary majority... I think there will be a clear decision [in Nov.], and Likud will [garner] enough votes to put together a strong [coalition] and govern for years.",Danny Danon (Likud) states the bloc is 'on the threshold' of a 61-seat majority and predicts Likud will secure enough votes to form a strong governing coalition.,True,live,
251,2022-10-18,ynet.co.il,he,he,"בתגובה למתקפות הליכוד, בבית היהודי מאיימים: ""אם לא נעבור - נתניהו יישאר באופוזיציה או",https://ynet.co.il/news/election2022/article/hymfmghqs,interview,politician_bloc,anti,Yom-Tov Kalfon,Jewish Home (Habayit Hayehudi),62,0.5,0.7,n/a,,0.75,bloc61,"אנחנו נקים ממשלה לאומית עם 61 מנדטים ומעלה... אם יצאו להצביע תהיה ממשלה לאומית בראשות נתניהו. למעשה, בלי איילת אין ביבי.","We will form a national government with 61 mandates and above... if people go out to vote there will be a national government headed by Netanyahu. In fact, without Ayelet there is no Bibi.","Yom-Tov Kalfon (Jewish Home) warns that if his party fails to pass the threshold, Netanyahu will remain in opposition or be forced to leave politics; he projects a 62-seat right-wing bloc if Jewish Home crosses the threshold, and argues Netanyahu's campaign against them is irrational.",False,live,
252,2022-10-19,inn.co.il,he,he,סקר במגזר החרדי: ירידה בשיעור התמיכה במפלגת 'יהדות התורה',https://inn.co.il/news/580329,poll,poll,polls,Askaria Institute,Askaria Institute (for Behadrei Haredim),,0,0.3,unclear,,0.5,uncertain,"עוד עולה מהסקר כי במקרה ונתניהו לא ישיג 61 להקמת ממשלה, 49% ענו כי הם לא יודעים, 27% סבורים כי יש להקים ממשלת ימין בראשות מועמד אחר, 16% מעדיפים הליכה לאופוזיציה במצב שאין 61 ו-8% השיבו כי יש להצטרף לממשלה בראשות בני גנץ או יאיר לפיד.","The survey also shows that in the event Netanyahu does not achieve 61 to form a government, 49% answered they don't know, 27% believe a right-wing government should be formed under another candidate, 16% prefer going to opposition if there is no 61, and 8% answered that they should join a government led by Benny Gantz or Yair Lapid.","An Askaria Institute poll of the haredi sector reports internal haredi party support (UTJ 43%, Shas 27%, RZ 6%) but does not project overall bloc seats; it conditionally asks haredim what they would prefer if Netanyahu fails to reach 61, with no clear consensus.",True,live,
253,2022-10-20,jewishjournal.com,en,il_en,Rosner's Domain— 10 Days: Time to Prepare for Israel's Election,https://jewishjournal.com/rosnersdomain/352342/rosners-domain-10-days-time-to-prepare-for-israels-election,analysis,author,media,Shmuel Rosner,Jewish Journal,,0,0.3,unclear,,0.5,uncertain,"A tie, or close to a tie, meaning, no one with the ability to form a coalition, was the result of almost all polls.","A tie, or close to a tie, meaning, no one with the ability to form a coalition, was the result of almost all polls.","Rosner identifies a static, tied race with Netanyahu's bloc and the opposition evenly matched; he highlights key variables (Arab turnout, Likud enthusiasm, Jewish Home's fate, West Bank unrest) that could tip the outcome either way, with no clear prediction.",True,live,
254,2022-10-20,allisrael.com,en,il_en,rising rapidly in israeli polls are bezalel smotrich and itamar ben gvir the radicals racists and extremists their critics claim,https://allisrael.com/rising-rapidly-in-israeli-polls-are-bezalel-smotrich-and-itamar-ben-gvir-the-radicals-racists-and-extremists-their-critics-claim,news,author,media,Joel C. Rosenberg,ALL ISRAEL NEWS,,0.0,0.3,unclear,,0.5,uncertain,"WILL NETANYAHU BRING ""RELIGIOUS ZIONISM"" INTO HIS GOVERNMENT IF THEY HELP HIM REACH 61 SEATS? During the last election, Netanyahu stated unequivocally that ""Ben Gvir cannot be a minister in my government."" Will Bibi keep that pledge?","WILL NETANYAHU BRING ""RELIGIOUS ZIONISM"" INTO HIS GOVERNMENT IF THEY HELP HIM REACH 61 SEATS? During the last election, Netanyahu stated unequivocally that ""Ben Gvir cannot be a minister in my government."" Will Bibi keep that pledge?","The article reports that Religious Zionism is rising in polls to ~14 seats and poised to be the third-largest faction, but raises unresolved questions about whether Netanyahu will include Ben Gvir and Smotrich in government if they help him reach 61 seats, without itself projecting whether the bloc will achieve that majority.",True,live,
255,2022-10-21,al-monitor.com,en,intl,Netanyahu plays dangerous game as extremist bloc grows stronger,https://al-monitor.com/originals/2022/10/netanyahu-plays-dangerous-game-extremist-bloc-grows-stronger,analysis,author,media,Al-Monitor staff/analysis,Al-Monitor,,0.5,0.65,n/a,,0.75,bloc61,"Judging by recent polls, there is a reasonable chance that Israel's next government will be controlled by the some of the most radical elements ever to populate Israeli politics, with Knesset member Itamar Ben Gvir leading the pack. Former Prime Minister Benjamin Netanyahu...is now dependent on the head of the Jewish Power party for his potential comeback in the Nov. 1 elections.","Judging by recent polls, there is a reasonable chance that Israel's next government will be controlled by the some of the most radical elements ever to populate Israeli politics, with Knesset member Itamar Ben Gvir leading the pack. Former Prime Minister Benjamin Netanyahu...is now dependent on the head of the Jewish Power party for his potential comeback in the Nov. 1 elections.","Al-Monitor analysis asserts there is a 'reasonable chance' Netanyahu's bloc (including Ben Gvir's Religious Zionism) will control the next government based on recent polls, though specific seat totals for the full bloc are not provided.",True,live,
256,2022-10-21,7kanal.co.il,ru,ru,Нетаньяху получит 61 мандат – и позовёт в правительство Ганца,https://7kanal.co.il/News/News.aspx/244452,news,politician_bloc,anti,Haim Ramon,103FM radio interview,60,0.35,0.7,n/a,,0.675,bloc61,"«Нетаньяху очень близок к 61 мандату, и, если не произойдет ничего необычного, он их получит. Я удивлюсь, если этого не произойдет.»","""Netanyahu is very close to 61 seats, and if nothing unusual happens, he will get them. I would be surprised if this does not happen.""","Former Justice Minister Haim Ramon predicts Netanyahu will reach 61 seats ""if nothing unusual happens,"" but the Panels Politics poll shows his bloc at only 60 seats, creating tension between optimistic political commentary and current polling data.",True,live,
257,2022-10-22,timesofisrael.com,en,il_en,"Arab parties fail to sign vote share deals, giving Netanyahu bloc edge in election",https://timesofisrael.com/arab-parties-fail-to-sign-vote-share-deals-giving-netanyahu-bloc-edge-in-election,news,author,media,,Times of Israel,,0.35,0.65,n/a,,0.675,bloc61,"Polls have predicted Netanyahu's right-wing religious bloc falling just short of a majority, and his opponents trailing behind, meaning a slight boost to a Netanyahu-allied party could put his bloc over the top and allow him to form a coalition.","Polls have predicted Netanyahu's right-wing religious bloc falling just short of a majority, and his opponents trailing behind, meaning a slight boost to a Netanyahu-allied party could put his bloc over the top and allow him to form a coalition.","The author reports that polls predict Netanyahu's bloc falling just short of a majority, but the failure of Arab parties to unite and sign vote-sharing deals could give Netanyahu's bloc an edge and potentially push it over 61 seats.",True,wayback,20221022093551
258,2022-10-23,allisrael.com,en,il_en,risky business why is netanyahu aligning himself with a far right political party widely denounced as extremist and racist,https://allisrael.com/risky-business-why-is-netanyahu-aligning-himself-with-a-far-right-political-party-widely-denounced-as-extremist-and-racist,analysis,author,media,Nicole Jansezian,allisrael.com / CBN Israel,,0.35,0.5,n/a,,0.675,bloc61,Their slate would assure a Netanyahu-led coalition at least four desperately needed seats... the fate of this election rests on these small parties – extreme Jewish and extreme Muslim parties – and perhaps even on their unlikely cooperation.,Their slate would assure a Netanyahu-led coalition at least four desperately needed seats... the fate of this election rests on these small parties – extreme Jewish and extreme Muslim parties – and perhaps even on their unlikely cooperation.,"The author suggests Netanyahu's coalition fate depends on small right-wing and Arab parties, with Ben Gvir/Smotrich providing four needed seats, but faces opposition from Bennett, Lapid, and others; outcome uncertain pending unlikely cooperation.",True,live,
259,2022-10-23,israelhayom.com,en,il_en,a netanyahu comeback likud optimism tested by reality,https://israelhayom.com/2022/10/23/a-netanyahu-comeback-likud-optimism-tested-by-reality,analysis,author,media,,Israel Hayom,62,0.3,0.6,n/a,,0.65,bloc61,"Before the holidays his face displayed a slight tinge of optimism. The internal polls showed that the Right-wing bloc was in the lead, 62 almost 63.","Before the holidays his face displayed a slight tinge of optimism. The internal polls showed that the Right-wing bloc was in the lead, 62 almost 63.","The author reports Netanyahu's internal polls show the right-wing bloc at 62–63 seats, but notes recent campaign efforts have failed to boost numbers, creating uncertainty about whether he will reach 61 mandates despite his optimism.",True,live,
